dataset,variable,tipo_observado
youtube_videos,video_id,object
youtube_videos,title,object
youtube_videos,channel_name,object
youtube_videos,channel_id,object
youtube_videos,source_query,object
youtube_videos,source_group,object
youtube_videos,dataset_sources,object
youtube_videos,channel_handle,object
youtube_videos,published_time,object
youtube_videos,view_count_text,object
youtube_videos,description_snippet,object
youtube_videos,video_url,object
youtube_videos,query_hits,object
youtube_videos,keywords,object
youtube_videos,description,object
youtube_videos,view_count,int64
youtube_videos,publish_date,"datetime64[ns, UTC]"
youtube_videos,upload_date,"datetime64[ns, UTC]"
youtube_videos,category,object
youtube_videos,owner_handle,object
youtube_comments,video_id,object
youtube_comments,comment_id,object
youtube_comments,video_title,object
youtube_comments,channel_name,object
youtube_comments,channel_id,object
youtube_comments,author_name,object
youtube_comments,author_channel_id,object
youtube_comments,text,object
youtube_comments,source_query,object
youtube_comments,source_group,object
youtube_comments,dataset_sources,object
youtube_comments,author_handle,object
youtube_comments,published_text,object
youtube_comments,like_count_text,object
youtube_comments,reply_count,int64
youtube_comments,is_pinned,bool
youtube_comments,viewer_rating,float64
