node_id,tipo,etiqueta,grado,videos_unicos,comentarios,canales_unicos,visualizaciones,grado_centr,betweenness,closeness,pagerank
autor::UC-HeUTT6_g-VoiWds2a4H-w,autor,@JorgeMunoz-gd9et,1,1.0,1,1.0,,0.0029,0.0,0.1326,0.0015
autor::UC-Iul5tDYH_oiAMXQH-KaaQ,autor,@AlbertoMancilla-p9h,1,1.0,1,1.0,,0.0029,0.0,0.1326,0.0015
autor::UC-QOpE7GOxlXcHZ8b7HbQKA,autor,@mariaalexander427,1,1.0,2,1.0,,0.0029,0.0,0.0264,0.0016
autor::UC-fiZBS5Gp1eCJd9ucgWnCg,autor,@Tommii.10,1,1.0,1,1.0,,0.0029,0.0,0.1742,0.0015
autor::UC-hfX8J5JPJ-dfuakzegMLA,autor,@normaleticiaorozcojuarez2418,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC-jS_kA9w-OmpupXDx156Rg,autor,@simoncreyesc7579,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC-pNP6RMFuLg_-x7Ah_0kEA,autor,@almacatalan2717,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC094EFEmMSdwVa8NQjjYBXg,autor,@CelestinoQuej-j7k,1,1.0,1,1.0,,0.0029,0.0,0.1461,0.0016
autor::UC0HvfEWozTHbwl_iEmJNvVA,autor,@OttoPalencia-b7r,1,1.0,1,1.0,,0.0029,0.0,0.1326,0.0015
autor::UC0RpuMwkDKJYqgKHtsJRuWQ,autor,@sabinamarinaguerra3248,1,1.0,1,1.0,,0.0029,0.0,0.0364,0.0016
autor::UC0aEyakBPqcBkVJiErfSupQ,autor,@jhonymanuel9891,1,1.0,1,1.0,,0.0029,0.0,0.0364,0.0016
autor::UC14qlobYKqD-DO0j6b75lcA,autor,@megavision4488,1,1.0,1,1.0,,0.0029,0.0,0.1326,0.0015
autor::UC1DpqK6vaPEkBOMNvypsKYg,autor,@HectorCarranza-u4j4o,1,1.0,1,1.0,,0.0029,0.0,0.1742,0.0015
autor::UC1NiEdJ7gk6FlDexIalWnGg,autor,@BorisTebalán,1,1.0,1,1.0,,0.0029,0.0,0.1326,0.0015
autor::UC1WlJfQmaIskYhP4gmWoamw,autor,@marthareiss5434,1,1.0,1,1.0,,0.0029,0.0,0.0264,0.0016
autor::UC1Y7x3h0c95Z8kUhi-Tzaeg,autor,@rosadiaz9235,1,1.0,1,1.0,,0.0029,0.0,0.1706,0.0015
autor::UC1vr9aaMI2crB0NvwFHUeoQ,autor,@JoseSimilox-p6e,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC2Y_EHWQKevubk4vOEBBFxw,autor,@alfonsomorales2653,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC2ngpd8UBQu4gcUYy0goAtg,autor,@juliohernandez7438,1,1.0,1,1.0,,0.0029,0.0,0.1023,0.0016
autor::UC2weSE8rpqkGMOp6StYtVfg,autor,@katerynsantiago2907,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC32oozucwCF3q8d4m8fyOUg,autor,@RauldejesusOlivagonzalez,1,1.0,1,1.0,,0.0029,0.0,0.1742,0.0015
autor::UC3E9mAgP7VoAE5mZoAexl5g,autor,@EnnioAroche,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC3MYTqpQqlWBuCB7Th0e0PA,autor,@isaaclopez7220,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC3NMzdMYryaw82kPTnsaljg,autor,@marisosa7832,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC3UVO7pTbeYvZ3ILEyRDskQ,autor,@rosaelenaargueta79,1,1.0,1,1.0,,0.0029,0.0,0.1742,0.0015
autor::UC3XTwHxygNCgjndsg-UiCQA,autor,@marioajset4283,1,1.0,3,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC3YpzAr7pcdKC7BVFEpYzog,autor,@carmenfigueroa1232,1,1.0,1,1.0,,0.0029,0.0,0.1326,0.0015
autor::UC3iIU62XKUOWuqL8BqBzj9A,autor,@antonioduarte2288,1,1.0,1,1.0,,0.0029,0.0,0.1461,0.0016
autor::UC3qn1yJA5PeW9rkGPatQxiw,autor,@VICTOREST19,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC4Avya4kmR4Q0FrfFdBozSQ,autor,@davidlima1348,1,1.0,1,1.0,,0.0029,0.0,0.1742,0.0015
autor::UC4cXueR2bKGFJV0Fk76gwmA,autor,@aluxdel4792,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC4kg7zuTfqQKLd2bkZrSYBA,autor,@zoilagarcia9019,1,1.0,1,1.0,,0.0029,0.0,0.1238,0.0016
autor::UC4wq3DcbfaG6dtCqn8Oyu3w,autor,@hugoasencio7764,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC5H8ASmMC9WrURmzeB4ySog,autor,@ManuelEdran,1,1.0,5,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC5PrBbmUlQolwqmiru7yZhw,autor,@lazarochavez8269,1,1.0,1,1.0,,0.0029,0.0,0.1461,0.0016
autor::UC5PyGvSfFM--OVKmQ3COu6g,autor,@FreddyGmez,1,1.0,1,1.0,,0.0029,0.0,0.0364,0.0016
autor::UC5bG9nc_JV3FsNP2KseQiYw,autor,@giovannirodas4836,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC5fvhAfm89JH8eDFdvc0xYw,autor,@isaidiaz2388,1,1.0,1,1.0,,0.0029,0.0,0.0364,0.0016
autor::UC5hvEnRUzI4Kfvwnyi4QxqQ,autor,@leonelsantizo5281,1,1.0,1,1.0,,0.0029,0.0,0.1742,0.0015
autor::UC5wuDq3U3vRAhOQI3D7gNdw,autor,@allanreneramirezgonzalez534,1,1.0,1,1.0,,0.0029,0.0,0.1679,0.0015
autor::UC63tFvbQ_hJhGDi2nbjssjw,autor,@AbigailRodas-w2r,1,1.0,1,1.0,,0.0029,0.0,0.1326,0.0015
autor::UC650pRT-OYzny3GwOH8Cgfw,autor,@edvinparedesherrera7632,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC6PvO1_k5lHKGdAPo5_C6TA,autor,@johnmejia992,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC6Uj1FT5JjDSF8vudvDxPAA,autor,@alfredoortega9264,1,1.0,1,1.0,,0.0029,0.0,0.1742,0.0015
autor::UC6YSZqL0vEcI-niPKIMUGfw,autor,@maxwellsales885,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC6xI_MOaxajIWpoP8BH6E_Q,autor,@jahirdiaz5862,1,1.0,1,1.0,,0.0029,0.0,0.0029,0.0028
autor::UC72gBAtyb_VXQlYDcFrh6oQ,autor,@osmanmorales3012,1,1.0,3,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC7IMsCxfZyWN7YQo8-JYa6Q,autor,@Burgos68,1,1.0,2,1.0,,0.0029,0.0,0.1706,0.0015
autor::UC7VUuJr9cGh845CmTvf7TlQ,autor,@LuisCastillo-oz4df,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC7dadZG7kkGYnsNu6td0FbA,autor,@lesolorzano,1,1.0,1,1.0,,0.0029,0.0,0.1742,0.0015
autor::UC816IGbFCZinfYS1LRDaaHg,autor,@ingenieroar,1,1.0,1,1.0,,0.0029,0.0,0.1742,0.0015
autor::UC8F2V63KZ4ZEay6opX2hAQw,autor,@carmenr6311,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC8G5cJONY8L9voMyBW8Eoug,autor,@luisparedes-pw6qt,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC8r11yOugM2NuRfitQOxLLg,autor,@cesaraugustomoralesmonroy6907,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC8xlJWNHz1V_W6q3fbuQH8g,autor,@NormaLópez-v7e,1,1.0,1,1.0,,0.0029,0.0,0.1706,0.0015
autor::UC95PSMouTx2N5CbSq0hIyrQ,autor,@lisss1908,1,1.0,1,1.0,,0.0029,0.0,0.1742,0.0015
autor::UC9Wp6vL5oCU37qC3Aj94WZA,autor,@ManuelSanchez-b8q2z,1,1.0,1,1.0,,0.0029,0.0,0.1461,0.0016
autor::UC9vMq1YF-e7C-VO0SHkbUTA,autor,@ErvinLeonardoCarreraLatín,1,1.0,4,1.0,,0.0029,0.0,0.2219,0.0015
autor::UC9xr9QvIcDvoZNUX5f-jaZw,autor,@MariaaliciaColonmorales,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UCA93ym2TXs_Ibyxb4Vcn-6Q,autor,@oswaldosolis8728,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UCAKuKvcbfnBD3kF5njNu-IA,autor,@melvinlopez7096,1,1.0,1,1.0,,0.0029,0.0,0.1742,0.0015
autor::UCAV7QIjYhbDJaycQycM_0eQ,autor,@mariavail8998,1,1.0,1,1.0,,0.0029,0.0,0.1706,0.0015
autor::UCAlzM_N6xBlMYmM8EBzX86Q,autor,@carlossoto3252,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UCAmtbUiIrUIhikru0ZoTFig,autor,@Aura-vf6dm,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
autor::UCAxvOOHQk7dYPOajzFEVtbA,autor,@ruddydepaz322,1,1.0,2,1.0,,0.0029,0.0,0.1023,0.0016
autor::UCB5p8a5gklc80jJItP6xTHg,autor,@ernestogamboa8737,1,1.0,1,1.0,,0.0029,0.0,0.2219,0.0015
