node_id,id_original,etiqueta,comunidad_aa
autor::UC-HeUTT6_g-VoiWds2a4H-w,UC-HeUTT6_g-VoiWds2a4H-w,@JorgeMunoz-gd9et,0
autor::UC-Iul5tDYH_oiAMXQH-KaaQ,UC-Iul5tDYH_oiAMXQH-KaaQ,@AlbertoMancilla-p9h,0
autor::UC-QOpE7GOxlXcHZ8b7HbQKA,UC-QOpE7GOxlXcHZ8b7HbQKA,@mariaalexander427,1
autor::UC-fiZBS5Gp1eCJd9ucgWnCg,UC-fiZBS5Gp1eCJd9ucgWnCg,@Tommii.10,8
autor::UC-hfX8J5JPJ-dfuakzegMLA,UC-hfX8J5JPJ-dfuakzegMLA,@normaleticiaorozcojuarez2418,3
autor::UC-jS_kA9w-OmpupXDx156Rg,UC-jS_kA9w-OmpupXDx156Rg,@simoncreyesc7579,3
autor::UC-pNP6RMFuLg_-x7Ah_0kEA,UC-pNP6RMFuLg_-x7Ah_0kEA,@almacatalan2717,3
autor::UC094EFEmMSdwVa8NQjjYBXg,UC094EFEmMSdwVa8NQjjYBXg,@CelestinoQuej-j7k,4
autor::UC0HvfEWozTHbwl_iEmJNvVA,UC0HvfEWozTHbwl_iEmJNvVA,@OttoPalencia-b7r,0
autor::UC0RpuMwkDKJYqgKHtsJRuWQ,UC0RpuMwkDKJYqgKHtsJRuWQ,@sabinamarinaguerra3248,5
autor::UC0aEyakBPqcBkVJiErfSupQ,UC0aEyakBPqcBkVJiErfSupQ,@jhonymanuel9891,5
autor::UC14qlobYKqD-DO0j6b75lcA,UC14qlobYKqD-DO0j6b75lcA,@megavision4488,0
autor::UC1DpqK6vaPEkBOMNvypsKYg,UC1DpqK6vaPEkBOMNvypsKYg,@HectorCarranza-u4j4o,8
autor::UC1NiEdJ7gk6FlDexIalWnGg,UC1NiEdJ7gk6FlDexIalWnGg,@BorisTebalán,0
autor::UC1WlJfQmaIskYhP4gmWoamw,UC1WlJfQmaIskYhP4gmWoamw,@marthareiss5434,1
autor::UC1Y7x3h0c95Z8kUhi-Tzaeg,UC1Y7x3h0c95Z8kUhi-Tzaeg,@rosadiaz9235,0
autor::UC1vr9aaMI2crB0NvwFHUeoQ,UC1vr9aaMI2crB0NvwFHUeoQ,@JoseSimilox-p6e,3
autor::UC2Y_EHWQKevubk4vOEBBFxw,UC2Y_EHWQKevubk4vOEBBFxw,@alfonsomorales2653,3
autor::UC2ngpd8UBQu4gcUYy0goAtg,UC2ngpd8UBQu4gcUYy0goAtg,@juliohernandez7438,0
autor::UC2weSE8rpqkGMOp6StYtVfg,UC2weSE8rpqkGMOp6StYtVfg,@katerynsantiago2907,3
