comunidad_aa,autores,comentarios_totales,sentimiento_medio,autores_recurrentes,comentarios_por_autor,max_comentarios_autor,pct_autores,pct_comentarios,canal_principal,autor_mas_activo,comentarios_autor_top,video_principal,negativos,neutrales,positivos,terminos_frecuentes
3,126,161,0.038359788359788365,2,1.2777777777777777,5,37.95180722891566,39.6551724137931,Quorum,@ManuelEdran,5,Qué rico come tu diputado,15,124,22,"pueblo, dinero, diputados, trabajo, diputado, sueldo"
0,61,83,0.10601092896174863,2,1.360655737704918,6,18.373493975903614,20.44334975369458,Gobierno de la República de Guatemala,@Murmullodelbarrio,6,Inician los trabajos de recuperación del Puente Belice II.,9,52,22,"presidente, guatemala, país, años, arevalo, bernardo"
8,55,60,0.05151515151515152,3,1.0909090909090908,3,16.566265060240966,14.77832512315271,Quorum,@inge_vergueta,3,La cooptación de Walter Mazariegos en la USAC,7,45,8,"usac, corruptos, universidad, estudiantes, información, excelente"
9,28,33,0.28035714285714286,2,1.1785714285714286,4,8.433734939759036,8.12807881773399,Quorum,@hashojea7348,4,Arroz con pollo a la MONOPOLIO,2,17,14,"excelente, empresas, internet, ley, está, país"
5,25,25,0.52,0,1.0,1,7.530120481927711,6.157635467980295,Municipalidad de Guatemala,@sabinamarinaguerra3248,1,Plan 2032 Ciudad de Guatemala,1,10,14,"guatemala, ciudad, saludos, viva, proyectos, tiempo"
1,18,25,0.0,0,1.3888888888888888,6,5.421686746987952,6.157635467980295,Noticias Telemundo,@eugeneramirez4405,6,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,3,19,3,"you, usa, pais, país, ver, bueno"
4,6,6,0.3333333333333333,0,1.0,1,1.8072289156626506,1.477832512315271,PrensaLibreOficial,@CelestinoQuej-j7k,1,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,0,4,2,"asquerosos, gasolina, subira, guerra, países, guatemala"
6,4,4,0.75,0,1.0,1,1.2048192771084338,0.9852216748768473,Quorum,@rotorairgroup8409,1,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",0,1,3,"iniciativa, juego, excelente, deporte, dinamico, entretenido"
13,3,3,0.0,0,1.0,1,0.9036144578313253,0.7389162561576355,Quorum,@noemiherrera3152,1,10 Preguntas a un año del Paro Nacional,0,3,0,"guatemala, cambia, dictadura, años, semilla, bernardo"
2,2,2,-0.5,0,1.0,1,0.6024096385542169,0.49261083743842365,Noticiero Guatevisión 13 Hrs.,@alfonsowilian9157,1,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",1,1,0,"persona, encargada, ecosistema, ayude, problema, recuerdos"
7,1,1,0.0,0,1.0,1,0.30120481927710846,0.24630541871921183,Quorum,@elizabethmonterroso7719,1,Cruzando la ciudad a puro Transmetro,0,1,0,"dice, subscribe, boletín, informativo, intenté, pagina"
10,1,1,0.0,0,1.0,1,0.30120481927710846,0.24630541871921183,Quorum,@jahirdiaz5862,1,¿Quiénes pagan más en Centroamérica?,0,1,0,wooow
11,1,1,0.0,0,1.0,1,0.30120481927710846,0.24630541871921183,Quorum,@elioelias7267,1,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,0,1,0,
12,1,1,0.0,0,1.0,1,0.30120481927710846,0.24630541871921183,Quorum,@aditalissethevasquezrojas8039,1,SHAI WA: la vecina queer de Casa Presidencial,0,1,0,"importante, conocer, tipo, espacios"
