comunidad_aa,autores,comentarios_totales,sentimiento_medio,autores_recurrentes,comentarios_por_autor,max_comentarios_autor,pct_autores,pct_comentarios
3,126,161,0.038359788359788365,2,1.2777777777777777,5,37.95180722891566,39.6551724137931
0,61,83,0.10601092896174863,2,1.360655737704918,6,18.373493975903614,20.44334975369458
8,55,60,0.05151515151515152,3,1.0909090909090908,3,16.566265060240966,14.77832512315271
11,28,33,0.28035714285714286,2,1.1785714285714286,4,8.433734939759036,8.12807881773399
5,25,25,0.52,0,1.0,1,7.530120481927711,6.157635467980295
1,18,25,0.0,0,1.3888888888888888,6,5.421686746987952,6.157635467980295
4,6,6,0.3333333333333333,0,1.0,1,1.8072289156626506,1.477832512315271
6,4,4,0.75,0,1.0,1,1.2048192771084338,0.9852216748768473
13,3,3,0.0,0,1.0,1,0.9036144578313253,0.7389162561576355
2,2,2,-0.5,0,1.0,1,0.6024096385542169,0.49261083743842365
9,1,1,0.0,0,1.0,1,0.30120481927710846,0.24630541871921183
7,1,1,0.0,0,1.0,1,0.30120481927710846,0.24630541871921183
10,1,1,0.0,0,1.0,1,0.30120481927710846,0.24630541871921183
12,1,1,0.0,0,1.0,1,0.30120481927710846,0.24630541871921183
