comunidad,autores,terminos_frecuentes
0,61,"presidente, guatemala, país, años, arevalo, bernardo"
1,18,"you, usa, pais, país, ver, bueno"
2,2,"persona, encargada, ecosistema, ayude, problema, recuerdos"
3,126,"pueblo, dinero, diputados, trabajo, diputado, sueldo"
4,6,"asquerosos, gasolina, subira, guerra, países, guatemala"
5,25,"guatemala, ciudad, saludos, viva, proyectos, tiempo"
6,4,"iniciativa, juego, excelente, deporte, dinamico, entretenido"
7,1,"dice, subscribe, boletín, informativo, intenté, pagina"
8,55,"usac, corruptos, universidad, estudiantes, información, excelente"
9,1,
10,1,wooow
11,28,"excelente, empresas, internet, ley, está, país"
12,1,"importante, conocer, tipo, espacios"
13,3,"guatemala, cambia, dictadura, años, semilla, bernardo"
