video_id_1,titulo_1,canal_1,video_id_2,titulo_2,canal_2,autores_compartidos
ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,Quorum,2
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,n8iP75gIpmw,Qué rico come tu diputado,Quorum,2
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,1
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,n8iP75gIpmw,Qué rico come tu diputado,Quorum,1
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,1
WIUZtitfLRw,Caminar en una ciudad hecha para carros,Quorum,ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,1
WIUZtitfLRw,Caminar en una ciudad hecha para carros,Quorum,yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,Quorum,1
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,1
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,n8iP75gIpmw,Qué rico come tu diputado,Quorum,1
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,1
n8iP75gIpmw,Qué rico come tu diputado,Quorum,ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,1
