termino,frecuencia
presidente bernardo,9
bernardo arevalo,8
ciudad guatemala,6
nery rodas,5
bla bla,5
pacto corruptos,5
viva guatemala,4
busquen trabajo,4
sería bueno,4
paguen sueldo,4
lleva años,4
dinero pueblo,4
comida nadie,4
guatemala saludos,4
muriendo hambre,4
hand purple,3
purple blue,3
blue peace,3
excelente trabajo,3
diputado nery,3
apoyo presidente,3
ley competencia,3
pagar dinero,3
libre mercado,3
dios bendiga,3
comunidad internacional,3
todas instituciones,3
pueblo paga,3
costillas pueblo,3
tren maya,3
reuniones virtuales,2
peace hand,2
sueldo busquen,2
trabajo realizan,2
muchos llegan,2
pueblo muriéndose,2
muriéndose hambre,2
quetzales día,2
muchas personas,2
buena información,2
qué hacían,2
junta directiva,2
partidos políticos,2
den gustos,2
niños desnutridos,2
hacen bueno,2
san carlos,2
excelente iniciativa,2
tanta corrupción,2
viva presidente,2
bueno pueblo,2
productivo país,2
diputado rodas,2
piensan pueblo,2
entiendo qué,2
sueldo dinero,2
propio sueldo,2
todas trabas,2
ahora destapo,2
destapo corrupcion,2
corrupcion existia,2
existia ahora,2
ahora contamino,2
contamino despues,2
despues ampliacion,2
ampliacion ahora,2
ahora deudas,2
deudas comunidad,2
internacional prestamos,2
prestamos carreteras,2
carreteras ademas,2
ademas concesiones,2
concesiones aeropuertos,2
aeropuertos puertos,2
puertos mismas,2
mismas carreteras,2
carreteras millonario,2
millonario eurobonos,2
eurobonos vender,2
vender pais,2
pais canasta,2
canasta basica,2
basica van,2
van hacer,2
hacer dinero,2
dinero obtengan,2
obtengan sera,2
sera regalo,2
regalo dios,2
dios dara,2
dara justicia,2
justicia momento,2
momento justicia,2
justicia dios,2
dios hijitos,2
hijitos sera,2
sera implacable,2
implacable omnipotente,2
excelente nota,2
you don,2
bella ciudad,2
saludos salvador,2
salvador país,2
país tan,2
está haciendo,2
presidente guatemala,2
arevalo dar,2
dar segunda,2
segunda buelta,2
muchas cosas,2
cosas buenas,2
canasta básica,2
señor presidente,2
pagar comida,2
bueno guatemala,2
cuidad guatemala,2
cuenta pueblo,2
nery ramos,2
entraron ilegalmente,2
bernardo arévalo,2
primero dios,2
letra pequeña,2
algún día,2
está país,2
excelente vídeo,2
costa rica,2
excelente información,2
sale luz,2
pais pertenesen,2
ganan mil,2
corrupto amigo,1
amigo vieja,1
vieja fiscal,1
fiscal tengo,1
tengo verbose,1
verbose carcel,1
están jóvenes,1
jóvenes buscan,1
buscan trabajo,1
trabajo tuvieron,1
tuvieron suerte,1
suerte policías,1
policías gusta,1
gusta vando,1
vando vestido,1
vestido mujer,1
mujer hubieran,1
hubieran ensamblado,1
ensamblado maquinaria,1
dejaron ganas,1
ganas demandar,1
demandar ilegalidad,1
ilegalidad reuniones,1
virtuales maquila,1
veremos mafioso,1
mafioso mazariegos,1
mazariegos cárcel,1
cárcel buen,1
buen tiempo,1
tiempo sombra,1
salga usa,1
usa propio,1
propio pie,1
pie auto,1
auto deporten,1
imagine they,1
they had,1
had walk,1
walk back,1
back home,1
buenísima investigacion,1
investigacion hand,1
lleven lonchera,1
lonchera sacrifiquense,1
sacrifiquense reintevren,1
reintevren dinero,1
dinero están,1
están robando,1
pequeño truco,1
truco tenés,1
tenés plan,1
plan mensual,1
mensual redes,1
redes ilimitadas,1
ilimitadas luego,1
luego mandan,1
mandan mensaje,1
mensaje consumiste,1
consumiste plan,1
plan viene,1
viene caos,1
caos verificas,1
verificas consumo,1
consumo datos,1
datos has,1
has utilizado,1
utilizado redes,1
redes mínimo,1
mínimo internet,1
internet ende,1
ende hacer,1
hacer recarga,1
recarga adicional,1
adicional vas,1
vas averiguar,1
averiguar dicen,1
dicen consumiste,1
consumiste datos,1
datos recargar,1
recargar negoció,1
negoció redondo,1
redondo ambas,1
ambas empresas,1
cambio nombre,1
poquito oro,1
oro habla,1
habla resolver,1
resolver problemas,1
diputados alcanza,1
alcanza sueldo,1
trabajo departamentos,1
departamentos capital,1
lamentable excusas,1
excusas reclama,1
reclama trabajo,1
realizan sueldon,1
sueldon costeen,1
costeen propios,1
propios alimentos,1
alimentos restaurantes,1
restaurantes lujo,1
lujo pueblo,1
pueblo luchando,1
luchando llevar,1
llevar pan,1
pan mesa,1
mesa muchos,1
deporte dinamico,1
dinamico entretenido,1
entretenido trasfondo,1
trasfondo juego,1
juego bastante,1
bastante macabro,1
macabro refleja,1
refleja oscuridad,1
oscuridad culturas,1
culturas pre,1
pre colombinas,1
colombinas america,1
america encuentro,1
encuentro sentido,1
sentido recrear,1
recrear tan,1
tan negativo,1
negativo arcaico,1
denle golpe,1
golpe universitario,1
universitario puede,1
puede hacer,1
hacer csu,1
hambre muchas,1
muchas madres,1
madres familia,1
familia ganando,1
ganando quetzales,1
día departamentos,1
departamentos ganan,1
ganan voy,1
voy dar,1
dar mención,1
mención aldea,1
aldea llamada,1
llamada jabalí,1
jabalí quetzales,1
día gana,1
gana personas,1
personas ganan,1
ganan quetzales,1
quetzales semana,1
semana fiestas,1
fiestas sanguijuelas,1
sanguijuelas comieron,1
comieron almuerzo,1
pues muchos,1
muchos alumnos,1
alumnos unirse,1
unirse quedado,1
quedado pata,1
pata walter,1
walter cuello,1
cuello sacarlos,1
lis trabajan,1
trabajan capital,1
capital pagamos,1
pagamos apartamento,1
apartamento tenemos,1
tenemos carro,1
carro gasolina,1
gasolina gratis,1
ubieran vestido,1
vestido rosita,1
rosita tacones,1
tacones medias,1
medias dia,1
dia noche,1
noche faltar,1
faltar calibres,1
calibres delen,1
delen bolsa,1
bolsa pintalabios,1
pintalabios también,1
gente muriendose,1
muriendose hambre,1
hambre ladrones,1
ladrones comiendo,1
comiendo maravilla,1
maravilla verguenza,1
guatemala nunca,1
nunca tube,1
tube llamar,1
llamar guatemala,1
guatemala dino,1
dino guatebella,1
guatebella guatehermosa,1
guatehermosa guatelinda,1
guatelinda eterna,1
eterna primavera,1
primavera guatebella,1
guatebella abrazos,1
abrazos hnos,1
hnos salvadoreno,1
salvadoreno viva,1
viva amor,1
amor armonia,1
parece excelente,1
excelente entrevista,1
subscribe boletín,1
boletín informativo,1
informativo intenté,1
intenté pagina,1
pagina web,1
web teléfonos,1
teléfonos colocados,1
colocados dice,1
dice telgua,1
telgua existen,1
existen whatsapp,1
whatsapp igual,1
igual dice,1
dice teléfono,1
teléfono existe,1
ver lado,1
lado bueno,1
bueno deportan,1
deportan frontera,1
frontera carteles,1
carteles secuestran,1
secuestran sacar,1
sacar dinero,1
dinero familiares,1
familiares usa,1
debe llegar,1
llegar muchas,1
personas buena,1
qué lujooo,1
lujooo contenidooooo,1
dijo qué,1
hacían periodistas,1
periodistas país,1
país deje,1
deje escuchar,1
escuchar quiero,1
quiero picar,1
picar hígado,1
nuevos corruptos,1
usac rector,1
rector usurpador,1
entoces mismas,1
mismas junta,1
directiva haciéndose,1
haciéndose suyas,1
suyas dinero,1
dinero basta,1
basta tanto,1
tanto robo,1
robo barriles,1
barriles fondos,1
entiendo periodistas,1
periodistas ahora,1
ahora atacan,1
atacan tanto,1
tanto entusiasmo,1
entusiasmo cosas,1
cosas gobierno,1
gobierno anterior,1
anterior estuvieron,1
estuvieron callados,1
callados tiempo,1
tiempo también,1
también recibían,1
recibían pagos,1
tanto mierda,1
mierda programa,1
programa razón,1
razón tira,1
tira así,1
así corruptos,1
indignante existen,1
existen guatemaltecos,1
guatemaltecos estúpidos,1
estúpidos proyectos,1
proyectos proyectos,1
proyectos estados,1
estados partidos,1
políticos hubiera,1
hubiera haciendo,1
haciendo zurdo,1
zurdo presidente,1
presidente inaurando,1
inaurando construcción,1
construcción reempezar,1
reempezar años,1
años empezó,1
empezó así,1
así puente,1
puente roosevelt,1
roosevelt tuvo,1
tuvo ningún,1
ningún cambio,1
cambio expuesto,1
expuesto sucede,1
sucede siempre,1
siempre llega,1
llega delincuente,1
delincuente quiere,1
quiere mordida,1
mordida prosupuesto,1
prosupuesto echo,1
tantos empezaron,1
empezaron llegaron,1
llegaron siquiera,1
siquiera mitad,1
mitad puentes,1
puentes rio,1
rio robar,1
robar dinero,1
dinero presidente,1
presidente llegó,1
llegó hacer,1
hacer diferente,1
diferente vote,1
vote pues,1
pues tampoco,1
tampoco cotado,1
cotado corruptos,1
corruptos presente,1
presente votaría,1
votaría posible,1
mucha importancia,1
importancia dan,1
dan éste,1
éste ladrón,1
ladrón maldito,1
válido den,1
gustos dinero,1
dinero guatemaltecos,1
guatemaltecos sinverguenzada,1
sinverguenzada jugosos,1
jugosos salarios,1
salarios roben,1
roben pueblo,1
pajas político,1
político gasta,1
gasta dinero,1
dinero país,1
tema centrese,1
centrese aclare,1
cosas entiendo,1
entiendo guatemala,1
guatemala suena,1
suena ilogico,1
ilogico dandole,1
dandole almuerzos,1
almuerzos gratis,1
gratis funcionarios,1
funcionarios publico,1
publico suficiente,1
suficiente robos,1
robos hacen,1
hacen aparte,1
aparte salarios,1
salarios incontables,1
incontables crean,1
crean fondo,1
fondo escuelas,1
escuelas niños,1
desnutridos seria,1
seria gran,1
gran ayuda,1
ayuda padres,1
bueno guate,1
guate paga,1
secuestrador san,1
buena universidad,1
universidad ahí,1
ahí estudio,1
estudio hermano,1
hermano embargo,1
embargo universidad,1
universidad manchada,1
manchada malditos,1
malditos rojos,1
rojos asquerosos,1
asquerosos comunistas,1
comunistas salen,1
salen manifestar,1
manifestar huelga,1
iniciativa equipo,1
