componente,comentarios,autores,videos,canales,sentimiento_medio,terminos_frecuentes
1,343,276,10,5,0.09552964042759961,"pueblo, dinero, presidente, trabajo, guatemala, diputados"
2,25,25,1,1,0.52,"guatemala, ciudad, saludos, viva, proyectos, tiempo"
3,25,18,1,1,0.0,"you, usa, pais, país, ver, bueno"
4,4,4,1,1,0.75,"iniciativa, juego, excelente, deporte, dinamico, entretenido"
5,3,3,1,1,0.0,"guatemala, cambia, dictadura, años, semilla, bernardo"
6,2,2,1,1,-0.5,"persona, encargada, ecosistema, ayude, problema, recuerdos"
7,1,1,1,1,0.0,wooow
8,1,1,1,1,0.0,"dice, subscribe, boletín, informativo, intenté, pagina"
9,1,1,1,1,0.0,
10,1,1,1,1,0.0,"importante, conocer, tipo, espacios"
