tipo,rango,proporcion_unidades,proporcion_comentarios
video,1,0.05263157894736842,0.39655172413793105
video,2,0.10526315789473684,0.5197044334975369
video,3,0.15789473684210525,0.6305418719211823
video,4,0.21052631578947367,0.6921182266009852
video,5,0.2631578947368421,0.7536945812807881
video,6,0.3157894736842105,0.8152709359605911
video,7,0.3684210526315789,0.854679802955665
video,8,0.42105263157894735,0.8891625615763546
video,9,0.47368421052631576,0.9187192118226601
video,10,0.5263157894736842,0.9359605911330049
video,11,0.5789473684210527,0.9532019704433498
video,12,0.631578947368421,0.9679802955665024
video,13,0.6842105263157895,0.9778325123152709
video,14,0.7368421052631579,0.9852216748768473
video,15,0.7894736842105263,0.9901477832512315
video,16,0.8421052631578947,0.9926108374384236
video,17,0.8947368421052632,0.9950738916256158
video,18,0.9473684210526315,0.9975369458128078
video,19,1.0,1.0
canal,1,0.125,0.6305418719211823
canal,2,0.25,0.8029556650246306
canal,3,0.375,0.8645320197044335
canal,4,0.5,0.9261083743842364
canal,5,0.625,0.9605911330049262
canal,6,0.75,0.9778325123152709
canal,7,0.875,0.9950738916256158
canal,8,1.0,1.0
