source_group,source_query,videos,visualizaciones
topic,@GobiernodelaRepublicadeGuatema,18,93188
topic,@GobiernodeGuatemala,17,21097
official_gov,Ministerio de Comunicaciones Guatemala,16,4674
topic,guatemala noticias,16,763121
topic,@MunicipalidaddeGuatemala-1551,16,5098
official_gov,PMT Guatemala,15,233617
official_gov,Conred Guatemala,15,6184
topic,Gobierno de la República de Guatemala,15,387403
official_gov,Policia Nacional Civil Guatemala,13,462936
topic,guatemala transporte,13,13100493
official_gov,Provial Guatemala,13,18445
topic,guatemala trafico,13,420458
topic,@quorumgt,12,68384
official_gov,Gobierno de Guatemala,12,28122
official_gov,Ministerio de Gobernacion Guatemala,12,11503
topic,guatemala politica,12,1208127
topic,guatemala lluvias,12,118929
topic,guatemala seguridad,12,289862
channel,@quorumgt/videos,11,8296
topic,Municipalidad de Guatemala,11,340568
official_gov,Municipalidad de Guatemala,9,98298
topic,Gobierno de Guatemala,6,4616
topic,Quorum GT,4,12596
