termino,frecuencia
pueblo,56
guatemala,52
dinero,34
presidente,32
país,31
trabajo,30
diputados,28
corruptos,24
hacer,23
diputado,22
excelente,21
bueno,21
pais,21
sueldo,17
dios,17
qué,16
ahora,16
está,15
ver,14
hacen,14
van,14
personas,13
así,13
años,13
siempre,13
también,12
cosas,12
puede,11
hambre,11
almuerzo,11
pues,11
gobierno,11
bernardo,11
arevalo,11
señor,11
ley,11
proyecto,11
están,10
empresas,10
nunca,10
dice,10
gran,10
rodas,10
nadie,10
empresa,10
saludos,10
viva,9
quetzales,9
gente,9
información,9
usac,9
paguen,9
siguen,9
mientras,9
mejor,9
todas,9
congreso,9
cómo,9
salvador,9
problema,9
gusta,8
tiempo,8
internet,8
proyectos,8
haciendo,8
quiere,8
guate,8
seguir,8
nery,8
será,8
salario,8
bla,8
pagar,8
gastos,8
ciudad,8
ladrones,7
capital,7
muchos,7
ganan,7
periodistas,7
entiendo,7
corrupción,7
pagan,7
trabajar,7
verdad,7
corrupcion,7
justicia,7
comida,7
claro,7
menos,7
corrupto,6
reuniones,6
buen,6
nombre,6
tan,6
muchas,6
gratis,6
debe,6
guatemaltecos,6
políticos,6
puente,6
almuerzos,6
universidad,6
hablar,6
adelante,6
estudiantes,6
pasa,6
mercado,6
poder,6
cierto,6
you,6
favor,6
toda,6
entonces,6
vamos,6
aquí,6
mil,6
usa,5
dicen,5
busquen,5
dar,5
gana,5
verguenza,5
existen,5
sacar,5
buena,5
dijo,5
tanto,5
mucha,5
dan,5
paga,5
población,5
méxico,5
ojalá,5
tanta,5
pena,5
apoyo,5
buenos,5
cree,5
costillas,5
momento,5
sería,5
maya,5
mega,5
internacional,5
sera,5
seguridad,5
don,5
realidad,5
pacto,5
crimen,5
tren,5
muriendo,5
mes,5
mexico,5
desarrollo,5
vale,5
fiscal,4
propio,4
pie,4
blue,4
mínimo,4
alcanza,4
alimentos,4
familia,4
día,4
trabajan,4
pagamos,4
tenemos,4
igual,4
deje,4
mismas,4
fondos,4
anterior,4
delincuente,4
echo,4
éste,4
den,4
salen,4
puedan,4
vuelva,4
tipo,4
comen,4
señores,4
lugares,4
urge,4
sufriendo,4
servicios,4
ratas,4
anteriores,4
comer,4
cualquier,4
competencia,4
conocer,4
piensan,4
deberían,4
primero,4
libre,4
carreteras,4
canasta,4
dueño,4
lleva,4
vos,4
madre,4
hecho,4
comidas,4
general,4
nuestros,4
comparto,4
arévalo,4
cabal,4
trabajando,4
giammattei,4
casa,4
acuerdo,4
mano,4
jajaja,4
saben,4
felicitaciones,4
aún,4
tigo,4
fin,4
países,4
amigo,3
tengo,3
carcel,3
mafioso,3
mazariegos,3
hand,3
purple,3
peace,3
pequeño,3
plan,3
viene,3
datos,3
recarga,3
habla,3
llegan,3
bastante,3
csu,3
muriéndose,3
gasolina,3
medias,3
noche,3
comiendo,3
existe,3
lado,3
llegar,3
rector,3
junta,3
basta,3
mierda,3
programa,3
razón,3
hubiera,3
ningún,3
llega,3
rio,3
robar,3
salarios,3
político,3
aparte,3
niños,3
seria,3
san,3
ahí,3
asquerosos,3
iniciativa,3
trata,3
pasar,3
mexicanos,3
vez,3
ala,3
descarado,3
desnutrición,3
viendo,3
corazón,3
vídeo,3
criterio,3
ademas,3
calidad,3
parte,3
serán,3
presidentes,3
decir,3
hijos,3
mantenidos,3
vergüenza,3
saque,3
gobiernos,3
demás,3
pagando,3
trabaja,3
realmente,3
terminan,3
privilegios,3
viáticos,3
paiz,3
horas,3
luz,3
pobre,3
felicito,3
valor,3
unidos,3
turismo,3
mundo,3
queda,3
pequeña,3
quisiera,3
paquete,3
sino,3
legal,3
monopolio,3
caso,3
sinverguenzas,3
pasan,3
alguien,3
triste,3
cara,3
delincuentes,3
público,3
mismos,3
factura,3
todavía,3
trabas,3
siendo,3
llama,3
bendiga,3
despues,3
comunidad,3
vender,3
like,3
ojala,3
cuantos,3
terminar,3
buscar,3
persona,3
diferentes,3
buelta,3
termine,3
buenas,3
manera,3
futuro,3
nivel,3
cargo,3
instituciones,3
podemos,3
sigan,3
lucha,3
gastan,3
paso,3
falta,3
misma,3
pedazo,3
pisto,3
gastar,3
cuidad,3
sean,3
sueldos,3
ramos,3
ilegalmente,3
respeto,3
carros,3
llevando,3
mal,3
miembros,3
asta,3
pobres,3
orden,3
hasen,3
venden,3
principalmente,3
lugar,3
hablando,3
dicho,3
asen,3
vayan,3
hacerlo,3
cliente,3
ice,3
fibra,3
iban,3
sale,3
cuánto,3
hagan,3
buscan,2
policías,2
vestido,2
mujer,2
virtuales,2
lonchera,2
robando,2
redes,2
luego,2
mensaje,2
consumiste,2
consumo,2
has,2
utilizado,2
vas,2
cambio,2
oro,2
resolver,2
problemas,2
departamentos,2
reclama,2
realizan,2
restaurantes,2
luchando,2
juego,2
negativo,2
llamada,2
sanguijuelas,2
quedado,2
pata,2
lis,2
carro,2
dia,2
faltar,2
llamar,2
guatebella,2
eterna,2
amor,2
parece,2
entrevista,2
deportan,2
frontera,2
carteles,2
hacían,2
escuchar,2
quiero,2
nuevos,2
directiva,2
haciéndose,2
robo,2
estuvieron,2
indignante,2
estados,2
partidos,2
construcción,2
sucede,2
tantos,2
tampoco,2
importancia,2
ladrón,2
gustos,2
sinverguenzada,2
pajas,2
suena,2
robos,2
fondo,2
desnutridos,2
carlos,2
justificando,2
regresar,2
primera,2
julio,2
héctor,2
pérez,2
después,2
hablan,2
colmo,2
andan,2
caros,2
siii,2
colombia,2
administración,2
grupos,2
saquen,2
elecciones,2
facultades,2
guatemalteca,2
desayuno,2
construir,2
renuncie,2
manos,2
allan,2
patria,2
parlacen,2
dejen,2
acciones,2
ciudadano,2
segun,2
kiere,2
siga,2
pendejo,2
trabaje,2
contento,2
alto,2
hambriento,2
cuanto,2
especialmente,2
estoy,2
departamento,2
ase,2
beneficio,2
medicinas,2
grupo,2
cacif,2
justifica,2
cuantas,2
hombre,2
productivo,2
infelices,2
reportaje,2
tristeza,2
periodista,2
república,2
ciudadanos,2
unir,2
economía,2
hermanos,2
haci,2
renuncien,2
similar,2
interesante,2
mayoría,2
líneas,2
prepago,2
abusos,2
ejemplo,2
saldo,2
asignado,2
opté,2
quitar,2
cable,2
costos,2
final,2
satelital,2
comparator,2
alvaro,2
arzú,2
acaba,2
salir,2
mañoso,2
padre,2
tapan,2
públicos,2
costear,2
transporte,2
hablemos,2
diga,2
bolsillo,2
pagado,2
vida,2
espero,2
millonarios,2
destapo,2
existia,2
contamino,2
ampliacion,2
deudas,2
prestamos,2
concesiones,2
aeropuertos,2
puertos,2
millonario,2
eurobonos,2
basica,2
obtengan,2
regalo,2
dara,2
hijitos,2
implacable,2
omnipotente,2
nota,2
there,2
and,2
corruption,2
tel,2
bella,2
clase,2
explicación,2
harina,2
ineptos,2
logren,2
meten,2
ferrocarril,2
dejan,2
maravillas,2
bukele,2
dejando,2
terminen,2
comentario,2
risa,2
bujele,2
rolando,2
cuesta,2
chorros,2
fácil,2
crees,2
pollo,2
robado,2
creo,2
bendiciones,2
caja,2
recursos,2
deben,2
comprar,2
esperemos,2
facturas,2
criminal,2
masariego,2
sabe,2
condiciones,2
funcionario,2
acaso,2
transas,2
además,2
vista,2
negras,2
exelente,2
segunda,2
merecido,2
costo,2
básica,2
aranceles,2
importaciones,2
participan,2
pensar,2
fiesta,2
dudo,2
obra,2
pueden,2
escondidas,2
dietas,2
dejo,2
recuperar,2
urgente,2
quienes,2
puedo,2
tristes,2
cuento,2
produce,2
cabecera,2
vial,2
genera,2
quieren,2
oferta,2
combatir,2
delincuencia,2
demos,2
poner,2
darle,2
vuelta,2
soy,2
horarios,2
deberian,2
bonita,2
considero,2
acombatir,2
calles,2
cuenta,2
jugoso,2
entraron,2
intereses,2
jamás,2
historia,2
llegará,2
salvar,2
luis,2
