video_id,title,channel_name,view_count,comentarios,autores_unicos,category,tiene_comentarios
n8iP75gIpmw,Qué rico come tu diputado,Quorum,11775,161,128,News & Politics,True
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,10156,50,49,News & Politics,True
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,11670,45,32,Entertainment,True
lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,304089,25,25,News & Politics,True
OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,14200,25,18,News & Politics,True
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,3628,25,19,Entertainment,True
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,Quorum,1954,16,16,News & Politics,True
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,6692,14,13,News & Politics,True
ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,717,12,10,News & Politics,True
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,5469,7,7,News & Politics,True
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,4616,7,7,News & Politics,True
WIUZtitfLRw,Caminar en una ciudad hecha para carros,Quorum,422,6,6,News & Politics,True
TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,1075,4,4,News & Politics,True
JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,Quorum,673,3,3,News & Politics,True
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,573,2,2,News & Politics,True
UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,Quorum,1755,1,1,News & Politics,True
X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,Quorum,1140,1,1,News & Politics,True
s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,Quorum,220,1,1,News & Politics,True
zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,52,1,1,Nonprofits & Activism,True
THY2YBne3QE,"Los ALUCINANTES autobuses de Guatemala | ""Burras""",Luisito Comunica,8190449,0,0,Comedy,False
n4xHxJPNr78,🚫LOS FAMOSOS BUSES ESMERALDA los mas RÁPIDOS DE GUATEMALA 😱,De todo Gt,3152619,0,0,People & Blogs,False
KkNQhX_kg8A,🇬🇹HISTORIA de GUATEMALA en 17 minutos🇬🇹 - El Mapa de Sebas,El Mapa de Sebas,749356,0,0,Education,False
Aa7hIDCRh3g,Este BUS me LLEVO a UN PARAISO EN GUATEMALA,De todo Gt,504374,0,0,People & Blogs,False
NnKpTEfhWjI,✅ ASÍ es una EXHIBICION DE BUSES EN GUATEMALA,De todo Gt,424874,0,0,Travel & Events,False
_1VIxOLyaUQ,Sonido de trafico y ciudad 💤 ruido de calle para dormir bebés y relajarse,Ambient Sound Explorer,330057,0,0,Entertainment,False
VfBrLONPnFM,ME quité el MIEDO de viajar en los buses de GUATEMALA 🔥,De todo Gt,329489,0,0,People & Blogs,False
_Lcbi4NCHRA,Tercer Informe General de la República,Gobierno de Guatemala,305269,0,0,News & Politics,False
ZPBiWdHXg20,Piloto de tráiler accidentado en ruta al Atlántico era un menor y murió en el lugar,PrensaLibreOficial,233632,0,0,News & Politics,False
anFbrgqxdzY,Horas Antes del Big One | Dentro de Ciudad de Guatemala Exactamente Antes del Terremoto (1976),Nostalgia Latina,222656,0,0,People & Blogs,False
kjwvEESqSHA,¿VALE la PENA VIAJAR de GUATEMALA a XELA en BUS? Descúbrelo,De todo Gt,216172,0,0,People & Blogs,False
tXLhWHWGaao,Breve historia política de Guatemala,Crónica Panamericana,144134,0,0,People & Blogs,False
K50uijsHnAM,Informe desde Ciudad de Guatemala: crisis de seguridad tras ataques contra la Policía,FRANCE 24 Español,135249,0,0,News & Politics,False
MdIa2Dtj77I,"Consejos para tu viaje a Guatemala: hospedaje, telefonía, transporte y más! ✈️ 🇬🇹",Aventuras de una programadora,134775,0,0,People & Blogs,False
hy0mwEHr6V0,MI3 será utilizado dentro de las evaluaciones a aspirantes a PNC,Ministerio de Gobernación,127595,0,0,News & Politics,False
ZS74P3DnykA,"Policía Nacional Civil gradúa 3,978 nuevos agentes",PNCdeGuatemala,115270,0,0,News & Politics,False
dLctzx8qCgA,¿Cómo la CIA ALTERÓ el DESTINO de GUATEMALA para siempre?,Alan Delmonte,108616,0,0,Education,False
tb6LaOWGAIo,"Guía Definitiva para viajar a Guatemala 2026 🇬🇹 Qué ver, itinerarios, precios y consejos",Welcome to el Mundo,104869,0,0,Travel & Events,False
B60bWqpVUIE,Así es el transporte público en Ciudad de Guatemala,PaulinoG,96794,0,0,Travel & Events,False
D4CEpAfkkPI,Policías arremeten contra agente de PMT en zona 10,PrensaLibreOficial,79044,0,0,News & Politics,False
ewdf3q1tuCA,INTERPOL Guatemala captura a mujer por prostituir a señoritas,Noti7,71048,0,0,News & Politics,False
3-jKER3zqcA,VECINO VRS AGENTES DE LA PMT EN MAZATENANGO,audioschileros,70811,0,0,People & Blogs,False
nPbC8-Ebat4,Pareja de sicarios capturada tras ataque armado contra piloto de autobús,PNCdeGuatemala,70537,0,0,Science & Technology,False
ebbgBtNrRz8,Las fuertes lluvias en Guatemala dejan al menos tres fallecidos en zonas rurales | Telemundo,Noticias Telemundo,63249,0,0,News & Politics,False
Jr1hJ92H_Nc,"#SinMáscaras | GUERRA SUCIA PERO SUCIA EN SERIO LLEGA A TV AZTECA CON AMPARO, CAMIN Y CASTAÑEDA",Manuel Pedrero,62941,0,0,News & Politics,False
DBvMeKT4gzo,La Familia MÁS RICA de GUATEMALA... Ni la Guerra les Quitó el Trono y Hoy son DUEÑOS de tu CERVEZA,Fortuna Latina,58881,0,0,People & Blogs,False
zyA0BpEYcQU,Discusión entre conductor y jefe de la PMT,Nuestro Mundo,55349,0,0,People & Blogs,False
zfJlUXRSaCU,Brief Political History of Guatemala,Crónica Panamericana,53547,0,0,People & Blogs,False
3S3KygWSjAQ,Himno de la Policía Nacional Civil de Guatemala,PNCdeGuatemala,53021,0,0,News & Politics,False
XLkVzqqL34Q,Nueva Mega Autopista Xochi en Guatemala 🇬🇹 ¿Vale la pena? (Te ahorra hasta 3 horas),One Life,44510,0,0,Entertainment,False
5nw9G1vwnYY,Actriz guatemalteca caracteriza a Consuelo Porras frente al MP por salida del cargo,PrensaLibreOficial,40327,0,0,News & Politics,False
VuIl4tjeKGQ,La ciudad sigue modernizándose para ti y tu familia.,Municipalidad de Guatemala,39168,0,0,News & Politics,False
dccwBXfxxiI,¡Espacios iluminados y seguros!,Municipalidad de Guatemala,38773,0,0,News & Politics,False
0iQD8zHxZIg,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA Guatemala en medio de EMERGENCIA,Tras la Verdad SV,36701,0,0,News & Politics,False
1w9faaYjhyU,Fundación de la República de Guatemala 21 marzo 1847,El profe de Historia Gt,31697,0,0,People & Blogs,False
wm1f52Mvzag,Gloria Álvarez: ¿Podría ser la próxima presidenta de Guatemala?,Jorge Ramos,31357,0,0,News & Politics,False
RIpKKQh26cg,Ejército de Guatemala descubre túnel para fuga masiva en penal de Pavón,TN23 Guatemala,29782,0,0,News & Politics,False
