video_id,video_title,comentarios,sentimiento_medio,positivos,negativos
n8iP75gIpmw,Qué rico come tu diputado,161,0.02898550724637681,22,16
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,50,0.04,8,6
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,45,0.2,15,6
lj983NWyAQY,Plan 2032 Ciudad de Guatemala,25,0.52,14,1
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,25,0.08,4,2
OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,25,0.0,3,3
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,16,0.3125,6,1
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,14,0.14285714285714285,3,1
ndAZjHqzzT8,Internet: escoger el menos malo,12,0.425,6,0
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,7,0.0,0,0
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,7,0.2857142857142857,2,0
WIUZtitfLRw,Caminar en una ciudad hecha para carros,6,0.16666666666666666,2,1
TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",4,0.75,3,0
JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,3,0.0,0,0
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",2,-0.5,0,1
X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,1,0.0,0,0
UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,1,0.0,0,0
s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,1,0.0,0,0
zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,1,0.0,0,0
