source,target,author_channel_id,video_id,peso_comentarios,me_gusta_recibidos,respuestas_recibidas,componente
autor::UC-HeUTT6_g-VoiWds2a4H-w,video::6W4u8sGEnGM,UC-HeUTT6_g-VoiWds2a4H-w,6W4u8sGEnGM,1,0,0,1
autor::UC-Iul5tDYH_oiAMXQH-KaaQ,video::6W4u8sGEnGM,UC-Iul5tDYH_oiAMXQH-KaaQ,6W4u8sGEnGM,1,1,0,1
autor::UC-QOpE7GOxlXcHZ8b7HbQKA,video::OkXlHx0hx-8,UC-QOpE7GOxlXcHZ8b7HbQKA,OkXlHx0hx-8,2,0,0,3
autor::UC-fiZBS5Gp1eCJd9ucgWnCg,video::j43HgwYFKfk,UC-fiZBS5Gp1eCJd9ucgWnCg,j43HgwYFKfk,1,6,0,1
autor::UC-hfX8J5JPJ-dfuakzegMLA,video::n8iP75gIpmw,UC-hfX8J5JPJ-dfuakzegMLA,n8iP75gIpmw,1,6,0,1
autor::UC-jS_kA9w-OmpupXDx156Rg,video::n8iP75gIpmw,UC-jS_kA9w-OmpupXDx156Rg,n8iP75gIpmw,1,2,0,1
autor::UC-pNP6RMFuLg_-x7Ah_0kEA,video::n8iP75gIpmw,UC-pNP6RMFuLg_-x7Ah_0kEA,n8iP75gIpmw,1,5,0,1
autor::UC094EFEmMSdwVa8NQjjYBXg,video::b_Hkrkl3adA,UC094EFEmMSdwVa8NQjjYBXg,b_Hkrkl3adA,1,0,0,1
autor::UC0HvfEWozTHbwl_iEmJNvVA,video::6W4u8sGEnGM,UC0HvfEWozTHbwl_iEmJNvVA,6W4u8sGEnGM,1,3,0,1
autor::UC0RpuMwkDKJYqgKHtsJRuWQ,video::lj983NWyAQY,UC0RpuMwkDKJYqgKHtsJRuWQ,lj983NWyAQY,1,113,1,2
autor::UC0aEyakBPqcBkVJiErfSupQ,video::lj983NWyAQY,UC0aEyakBPqcBkVJiErfSupQ,lj983NWyAQY,1,70,0,2
autor::UC14qlobYKqD-DO0j6b75lcA,video::6W4u8sGEnGM,UC14qlobYKqD-DO0j6b75lcA,6W4u8sGEnGM,1,0,0,1
autor::UC1DpqK6vaPEkBOMNvypsKYg,video::j43HgwYFKfk,UC1DpqK6vaPEkBOMNvypsKYg,j43HgwYFKfk,1,0,0,1
autor::UC1NiEdJ7gk6FlDexIalWnGg,video::6W4u8sGEnGM,UC1NiEdJ7gk6FlDexIalWnGg,6W4u8sGEnGM,1,0,0,1
autor::UC1WlJfQmaIskYhP4gmWoamw,video::OkXlHx0hx-8,UC1WlJfQmaIskYhP4gmWoamw,OkXlHx0hx-8,1,2,1,3
autor::UC1Y7x3h0c95Z8kUhi-Tzaeg,video::PjmxCj-a9Hg,UC1Y7x3h0c95Z8kUhi-Tzaeg,PjmxCj-a9Hg,1,0,0,1
autor::UC1vr9aaMI2crB0NvwFHUeoQ,video::n8iP75gIpmw,UC1vr9aaMI2crB0NvwFHUeoQ,n8iP75gIpmw,1,0,0,1
autor::UC2Y_EHWQKevubk4vOEBBFxw,video::n8iP75gIpmw,UC2Y_EHWQKevubk4vOEBBFxw,n8iP75gIpmw,1,1,0,1
autor::UC2ngpd8UBQu4gcUYy0goAtg,video::06mFNPU0aB8,UC2ngpd8UBQu4gcUYy0goAtg,06mFNPU0aB8,1,0,0,1
autor::UC2weSE8rpqkGMOp6StYtVfg,video::n8iP75gIpmw,UC2weSE8rpqkGMOp6StYtVfg,n8iP75gIpmw,1,1,0,1
autor::UC32oozucwCF3q8d4m8fyOUg,video::j43HgwYFKfk,UC32oozucwCF3q8d4m8fyOUg,j43HgwYFKfk,1,0,0,1
autor::UC3E9mAgP7VoAE5mZoAexl5g,video::n8iP75gIpmw,UC3E9mAgP7VoAE5mZoAexl5g,n8iP75gIpmw,1,0,0,1
autor::UC3MYTqpQqlWBuCB7Th0e0PA,video::n8iP75gIpmw,UC3MYTqpQqlWBuCB7Th0e0PA,n8iP75gIpmw,1,4,0,1
autor::UC3NMzdMYryaw82kPTnsaljg,video::n8iP75gIpmw,UC3NMzdMYryaw82kPTnsaljg,n8iP75gIpmw,1,0,0,1
