node_id,tipo,etiqueta,handle,comentarios,videos_unicos,canales_unicos,sentimiento_medio,visualizaciones,autores_unicos,categoria,id_original,componente,grado
autor::UC-HeUTT6_g-VoiWds2a4H-w,autor,@JorgeMunoz-gd9et,/@JorgeMunoz-gd9et,1,1.0,1.0,1.0,,,,UC-HeUTT6_g-VoiWds2a4H-w,1,1
autor::UC-Iul5tDYH_oiAMXQH-KaaQ,autor,@AlbertoMancilla-p9h,/@AlbertoMancilla-p9h,1,1.0,1.0,1.0,,,,UC-Iul5tDYH_oiAMXQH-KaaQ,1,1
autor::UC-QOpE7GOxlXcHZ8b7HbQKA,autor,@mariaalexander427,/@mariaalexander427,2,1.0,1.0,0.0,,,,UC-QOpE7GOxlXcHZ8b7HbQKA,2,1
autor::UC-fiZBS5Gp1eCJd9ucgWnCg,autor,@Tommii.10,/@Tommii.10,1,1.0,1.0,0.0,,,,UC-fiZBS5Gp1eCJd9ucgWnCg,1,1
autor::UC-hfX8J5JPJ-dfuakzegMLA,autor,@normaleticiaorozcojuarez2418,/@normaleticiaorozcojuarez2418,1,1.0,1.0,1.0,,,,UC-hfX8J5JPJ-dfuakzegMLA,1,1
autor::UC-jS_kA9w-OmpupXDx156Rg,autor,@simoncreyesc7579,/@simoncreyesc7579,1,1.0,1.0,0.0,,,,UC-jS_kA9w-OmpupXDx156Rg,1,1
autor::UC-pNP6RMFuLg_-x7Ah_0kEA,autor,@almacatalan2717,/@almacatalan2717,1,1.0,1.0,0.0,,,,UC-pNP6RMFuLg_-x7Ah_0kEA,1,1
autor::UC094EFEmMSdwVa8NQjjYBXg,autor,@CelestinoQuej-j7k,/@CelestinoQuej-j7k,1,1.0,1.0,0.0,,,,UC094EFEmMSdwVa8NQjjYBXg,1,1
autor::UC0HvfEWozTHbwl_iEmJNvVA,autor,@OttoPalencia-b7r,/@OttoPalencia-b7r,1,1.0,1.0,-1.0,,,,UC0HvfEWozTHbwl_iEmJNvVA,1,1
autor::UC0RpuMwkDKJYqgKHtsJRuWQ,autor,@sabinamarinaguerra3248,/@sabinamarinaguerra3248,1,1.0,1.0,1.0,,,,UC0RpuMwkDKJYqgKHtsJRuWQ,3,1
autor::UC0aEyakBPqcBkVJiErfSupQ,autor,@jhonymanuel9891,/@jhonymanuel9891,1,1.0,1.0,0.0,,,,UC0aEyakBPqcBkVJiErfSupQ,3,1
autor::UC14qlobYKqD-DO0j6b75lcA,autor,@megavision4488,/@megavision4488,1,1.0,1.0,1.0,,,,UC14qlobYKqD-DO0j6b75lcA,1,1
autor::UC1DpqK6vaPEkBOMNvypsKYg,autor,@HectorCarranza-u4j4o,/@HectorCarranza-u4j4o,1,1.0,1.0,-1.0,,,,UC1DpqK6vaPEkBOMNvypsKYg,1,1
autor::UC1NiEdJ7gk6FlDexIalWnGg,autor,@BorisTebalán,/@BorisTebal%C3%A1n,1,1.0,1.0,1.0,,,,UC1NiEdJ7gk6FlDexIalWnGg,1,1
autor::UC1WlJfQmaIskYhP4gmWoamw,autor,@marthareiss5434,/@marthareiss5434,1,1.0,1.0,0.0,,,,UC1WlJfQmaIskYhP4gmWoamw,2,1
